9,90	3,33	1,46	2,20	3,99	4,50	4,39	0,00	0,00	0,00	
9,91	9,98	1,73	1,83	3,02	2,78	5,15	0,00	0,00	0,00	
9,91	9,98	2,59	2,75	3,00	4,68	3,36	0,00	0,00	0,00	
9,91	9,98	10,29	1,83	2,41	4,51	3,50	0,00	0,00	0,00	
9,91	9,98	10,28	1,83	2,01	4,70	2,62	4,42	0,00	0,00	
9,85	9,98	10,28	2,76	3,00	3,44	6,40	0,00	0,00	0,00	
1,23	9,98	10,28	5,52	2,41	3,43	3,23	5,90	0,00	0,00	
9,86	9,91	10,28	5,52	3,99	4,65	3,41	4,25	0,00	0,00	
9,99	10,00	10,36	11,03	3,99	4,53	4,01	5,36	0,00	0,00	
4,17	10,36	10,36	11,03	3,97	4,62	2,83	4,51	0,00	0,00	
